TOWNCODE,COUNTYNAME,TOWNNAME,median_household_income,gini_index,poverty_family_below_poverty_level_rate,poverty_family_below_poverty_level,tax_household_count
64000150,高雄市,大樹區,375.3950501598501,0.48272068746297264,0.020196094862985,241,18142.0
64000160,高雄市,大社區,391.3448197943735,0.483270616442117,0.019237716763005782,213,17702.0
64000170,高雄市,仁武區,449.8209093416335,0.4827115428053895,0.011561096214785667,332,50762.0
64000180,高雄市,鳥松區,519.4324445775914,0.5544366702168537,0.012461835628388061,200,26704.0
64000190,高雄市,岡山區,411.60448172074587,0.4908697115561937,0.009384396788157156,284,54488.0
64000200,高雄市,橋頭區,439.89354553492484,0.4883357443421599,0.012629957643434732,164,22620.0
64000210,高雄市,燕巢區,370.7442409923213,0.480749664397582,0.0248202902482029,183,13544.0
64000220,高雄市,田寮區,344.11479591836735,0.4515543426152416,0.021852237252861603,63,2352.0
64000230,高雄市,阿蓮區,359.56930161166537,0.5046739635934674,0.015120604824192968,126,13030.0
64000240,高雄市,路竹區,397.75609220636665,0.5054972818896534,0.0200445434298441,288,27330.0
64000250,高雄市,湖內區,359.0512118842846,0.48744432227793466,0.01436335403726708,148,15348.0
64000260,高雄市,茄萣區,334.695434298441,0.46601555014799617,0.02983879042755582,298,12572.0
64000270,高雄市,永安區,352.6063328424153,0.45268047679111706,0.017978052766752278,77,6790.0
64000280,高雄市,彌陀區,348.7038247397725,0.4766419859830567,0.010183968462549276,62,8262.0
64000290,高雄市,梓官區,371.1176401869159,0.4701637965781388,0.007838654364334122,96,17120.0
64000300,高雄市,旗山區,378.75153725153723,0.4744561164515991,0.018731754784301006,231,13986.0
64000310,高雄市,美濃區,398.9742332135949,0.44859949151422795,0.015928515928515928,246,14476.0
64000320,高雄市,六龜區,350.3759004584152,0.5147938609691269,0.04937813254130314,266,3054.0
64000330,高雄市,甲仙區,336.6552795031056,0.42911165247861566,0.023819651212250107,56,1610.0
64000340,高雄市,杉林區,340.12589459986987,0.45733053399512635,0.033478893740902474,161,3074.0
64000350,高雄市,內門區,335.6568247821878,0.45182461062242807,0.0323522257358307,133,4132.0
64000360,高雄市,茂林區,473.3611111111111,0.48872391895525263,0.09530026109660575,73,648.0
64000370,高雄市,桃源區,424.4125412541254,0.39386242194200816,0.04187192118226601,68,1212.0
64000380,高雄市,那瑪夏區,463.71393643031786,0.3736061725861932,0.06896551724137931,70,818.0
65000010,新北市,板橋區,472.72383706858994,0.5232837258628336,0.007074145792991442,1359,330544.0
65000020,新北市,三重區,410.1821427928981,0.5255084952192751,0.01807916173147213,2488,222364.0
65000030,新北市,中和區,463.7145968463652,0.518835508649813,0.012567218862646995,1914,252534.0
65000040,新北市,永和區,517.8437598940794,0.5678481598912403,0.011164973746903556,942,138972.0
65000050,新北市,新莊區,433.846155053728,0.5017566838079641,0.011548507992390903,1627,254802.0
65000060,新北市,新店區,488.63195507131053,0.5821796511223,0.011279232158265063,1268,196044.0
65000070,新北市,樹林區,415.3960601786554,0.502098802357943,0.012784735061220218,733,106350.0
65000080,新北市,鶯歌區,382.3787133742431,0.48641856789512744,0.021522668947818648,629,49214.0
65000090,新北市,三峽區,438.0335304763752,0.5185469933781655,0.019868042464530212,801,61884.0
65000100,新北市,淡水區,464.88189111061695,0.5709903918282475,0.013096448196107894,889,116926.0
65000110,新北市,汐止區,458.83743465789127,0.5197649717776484,0.01172517921025069,862,137354.0
65000120,新北市,瑞芳區,345.9758570234114,0.47402495597246364,0.03865602129075183,581,19136.0
65000130,新北市,土城區,411.023232644103,0.4980619942341657,0.014753330557868443,1134,138512.0
65000140,新北市,蘆洲區,411.9217147533562,0.505880712241775,0.017853861701476084,1166,114862.0
65000150,新北市,五股區,389.85900390625,0.6780290574154371,0.018676860141501526,557,51200.0
65000160,新北市,泰山區,441.98096097644833,0.4858650850622019,0.007307648161609978,191,46536.0
65000170,新北市,林口區,593.7730605892749,0.5410781379460412,0.00824804195642631,357,75822.0
