年月,縣市,用電性質,售電量(度),用電佔比(%),,
11409,嘉義縣,農林漁牧,27524662,9.21,,
11409,嘉義縣,工業,117233762,39.21,,
11409,屏東縣,住宅,174393350,38.3,,
11409,屏東縣,服務業,"107,811,525",23.68,,
11409,屏東縣,農林漁牧,62621198,13.75,,
11409,屏東縣,工業,110474025,24.26,,
11409,台東縣,住宅,41564146,45.13,,
11409,台東縣,服務業,"37,225,102",40.42,,
11409,台東縣,農林漁牧,2636366,2.86,,
11409,台東縣,工業,10672702,11.59,,
11409,花蓮縣,住宅,69255472,31.68,,
11409,花蓮縣,服務業,"64,308,884",29.42,,
