TOWNCODE,COUNTYNAME,TOWNNAME,郵遞區號,行政區,electricity_consume_residential,electricity_consume_commercial,electricity_consume_total,electricity_price_industrial,electricity_price_commercial
66000070.0,臺中市,南屯區,408,南屯區,4127.804553219699,19163.891803456554,1680384433.4,0.08748538011695907,0.10959064327485381
66000270.0,臺中市,太平區,411,太平,3698.6197731300467,21079.038716754887,1119550342.0,0.08748538011695907,0.10959064327485381
66000280.0,臺中市,大里區,412,大里,3845.983043927749,20378.16330477438,1132834008.8,0.08748538011695907,0.10959064327485381
66000260.0,臺中市,霧峰區,413,霧峰,3693.7453411059423,20249.078255424938,521878576.8,0.08748538011695907,0.10959064327485381
66000230.0,臺中市,烏日區,414,烏日,3622.421302757432,24273.172897358898,641686515.8,0.08748538011695907,0.10959064327485381
66000090.0,臺中市,豐原區,420,豐原,3583.1914845809006,17137.167514789555,763490082.4,0.08748538011695907,0.10959064327485381
66000150.0,臺中市,后里區,421,后里,3504.4434058318257,17175.898726174062,3756274358.6,0.08748538011695907,0.10959064327485381
66000200.0,臺中市,石岡區,422,石岡,2726.8481314296596,16813.624423645302,67272824.8,0.08748538011695907,0.10959064327485381
66000100.0,臺中市,東勢區,423,東勢,2303.220536308008,9832.217312195175,119388135.4,0.08748538011695907,0.10959064327485381
66000290.0,臺中市,和平區,424,和平,3163.1023386526904,16589.885588136774,58821085.8,0.08748538011695907,0.10959064327485381
66000190.0,臺中市,新社區,426,新社,2389.3751551599485,12190.753799991293,116944469.0,0.08748538011695907,0.10959064327485381
66000170.0,臺中市,潭子區,427,潭子,3698.825686958521,20851.202672803942,1261730326.6,0.08748538011695907,0.10959064327485381
66000180.0,臺中市,大雅區,428,大雅,3857.8891550529015,24506.83622383912,3939269071.4,0.08748538011695907,0.10959064327485381
66000160.0,臺中市,神岡區,429,神岡,3842.5200038937865,24912.879820311537,656171081.2,0.08748538011695907,0.10959064327485381
66000240.0,臺中市,大肚區,432,大肚,3344.531821403548,15456.796224695505,437828167.4,0.08748538011695907,0.10959064327485381
66000130.0,臺中市,沙鹿區,433,沙鹿,3621.2097907079105,14716.756592952293,552969962.0,0.08748538011695907,0.10959064327485381
66000250.0,臺中市,龍井區,434,龍井,3691.4264868026085,18540.06710085697,980633393.0,0.08748538011695907,0.10959064327485381
66000140.0,臺中市,梧棲區,435,梧棲,3483.2508620779067,17808.885650337073,1538757872.8,0.08748538011695907,0.10959064327485381
66000120.0,臺中市,清水區,436,清水,3238.200799764935,16836.133809804196,541568800.8,0.08748538011695907,0.10959064327485381
66000110.0,臺中市,大甲區,437,大甲,3576.4287564937135,16969.653111913154,800446878.8,0.08748538011695907,0.10959064327485381
66000210.0,臺中市,外埔區,438,外埔,3474.286929325561,19623.963953749848,160996276.4,0.08748538011695907,0.10959064327485381
66000220.0,臺中市,大安區,439,大安,3165.25856974651,24948.681695573752,99582796.2,0.08748538011695907,0.10959064327485381
10007010.0,彰化縣,彰化市,500,彰化,3522.9884896284675,13462.378617970307,1222866612.0,0.08748538011695907,0.10959064327485381
10007090.0,彰化縣,芬園鄉,502,芬園,2989.872536096276,14727.226109625943,88012698.8,0.08748538011695907,0.10959064327485381
10007080.0,彰化縣,花壇鄉,503,花壇,3216.801013498586,15113.924740761033,364128009.6,0.08748538011695907,0.10959064327485381
10007070.0,彰化縣,秀水鄉,504,秀水,3042.5561435442833,17463.135622500096,283377936.0,0.08748538011695907,0.10959064327485381
10007020.0,彰化縣,鹿港鎮,505,鹿港,3316.4401838950384,11942.66257193453,1537577504.6,0.08748538011695907,0.10959064327485381
10007060.0,彰化縣,福興鄉,506,福興,2893.57675179864,12473.83284285988,402725468.0,0.08748538011695907,0.10959064327485381
10007040.0,彰化縣,線西鄉,507,線西,2875.093357863652,13564.84247205943,1046436691.4,0.08748538011695907,0.10959064327485381
10007030.0,彰化縣,和美鎮,508,和美,3269.350143865443,14309.823601825387,1047009689.6,0.08748538011695907,0.10959064327485381
10007050.0,彰化縣,伸港鄉,509,伸港,3108.0300846345754,11750.101776706859,980682962.6,0.08748538011695907,0.10959064327485381
10007100.0,彰化縣,員林市,510,員林,3246.3770834225256,12552.197374420814,577206837.8,0.08748538011695907,0.10959064327485381
10007170.0,彰化縣,社頭鄉,511,社頭,2829.9215201595443,10983.646727892836,182142319.0,0.08748538011695907,0.10959064327485381
10007160.0,彰化縣,永靖鄉,512,永靖,2636.503377435628,11828.966837566046,129132995.8,0.08748538011695907,0.10959064327485381
10007150.0,彰化縣,埔心鄉,513,埔心,2896.934506050667,14109.269663829156,228205228.8,0.08748538011695907,0.10959064327485381
10007110.0,彰化縣,溪湖鎮,514,溪湖,2962.9516507136477,13456.346464868004,248340513.8,0.08748538011695907,0.10959064327485381
10007130.0,彰化縣,大村鄉,515,大村,3197.6057007150202,13905.401720936828,381530548.2,0.08748538011695907,0.10959064327485381
10007140.0,彰化縣,埔鹽鄉,516,埔鹽,2565.1191466325213,16360.171143643689,203417378.8,0.08748538011695907,0.10959064327485381
10007120.0,彰化縣,田中鎮,520,田中,2754.8753615894393,11467.018960107884,196473702.2,0.08748538011695907,0.10959064327485381
