"資料期別","縣市","鄉鎮市區","設有戶籍住宅之平均人口數"
"098Q1","台南縣(99年以前)","新化鎮",4.15
"098Q1","台南縣(99年以前)","善化鎮",3.89
"098Q1","台南縣(99年以前)","新市鄉",4.08
"098Q1","台南縣(99年以前)","安定鄉",4.37
"098Q1","台南縣(99年以前)","山上鄉",4.71
"098Q1","台南縣(99年以前)","玉井鄉",4.20
"098Q1","台南縣(99年以前)","楠西鄉",4.35
"098Q1","台南縣(99年以前)","南化鄉",4.66
"098Q1","台南縣(99年以前)","左鎮鄉",4.29
"098Q1","台南縣(99年以前)","仁德鄉",3.57
"098Q1","台南縣(99年以前)","歸仁鄉",4.05
"098Q1","台南縣(99年以前)","關廟鄉",4.51
"098Q1","台南縣(99年以前)","龍崎鄉",4.91
"098Q1","台南縣(99年以前)","永康市",3.48
"098Q1","高雄縣(99年以前)","",3.82
"098Q1","高雄縣(99年以前)","鳳山市",3.34
"098Q1","高雄縣(99年以前)","鳥松鄉",3.31
"098Q1","高雄縣(99年以前)","仁武鄉",3.37
"098Q1","高雄縣(99年以前)","大社鄉",3.55
"098Q1","高雄縣(99年以前)","大樹鄉",4.54
"098Q1","高雄縣(99年以前)","大寮鄉",3.63
"098Q1","高雄縣(99年以前)","林園鄉",4.25
"098Q1","高雄縣(99年以前)","岡山鎮",3.65
"098Q1","高雄縣(99年以前)","茄萣鄉",4.72
"098Q1","高雄縣(99年以前)","永安鄉",4.49
"098Q1","高雄縣(99年以前)","橋頭鄉",3.75
"098Q1","高雄縣(99年以前)","梓官鄉",4.10
"098Q1","高雄縣(99年以前)","田寮鄉",4.54
"098Q1","高雄縣(99年以前)","阿蓮鄉",4.47
"098Q1","高雄縣(99年以前)","路竹鄉",4.41
"098Q1","高雄縣(99年以前)","燕巢鄉",4.56
"098Q1","高雄縣(99年以前)","彌陀鄉",5.08
"098Q1","高雄縣(99年以前)","湖內鄉",3.79
"098Q1","高雄縣(99年以前)","旗山鎮",4.11
"098Q1","高雄縣(99年以前)","六龜鄉",4.11
"098Q1","高雄縣(99年以前)","內門鄉",5.94
"098Q1","高雄縣(99年以前)","美濃鎮",5.37
"098Q1","高雄縣(99年以前)","杉林鄉",4.90
"098Q1","高雄縣(99年以前)","甲仙鄉",4.28
"098Q1","高雄縣(99年以前)","茂林鄉",4.86
"098Q1","高雄縣(99年以前)","桃源鄉",5.40
"098Q1","高雄縣(99年以前)","那瑪夏鄉",5.21
"098Q2","全國","",4.24
"098Q2","新北市","",3.38
"098Q2","新北市","板橋區",3.47
"098Q2","新北市","三重區",3.42
"098Q2","新北市","中和區",3.16
"098Q2","新北市","永和區",3.27
"098Q2","新北市","新莊區",3.53
"098Q2","新北市","新店區",3.05
"098Q2","新北市","樹林區",3.64
"098Q2","新北市","鶯歌區",3.90
"098Q2","新北市","三峽區",3.67
"098Q2","新北市","淡水區",2.99
"098Q2","新北市","汐止區",2.81
"098Q2","新北市","瑞芳區",3.50
"098Q2","新北市","土城區",3.52
"098Q2","新北市","蘆洲區",3.61
"098Q2","新北市","五股區",3.56
"098Q2","新北市","泰山區",3.43
"098Q2","新北市","林口區",3.56
"098Q2","新北市","深坑區",3.21
"098Q2","新北市","石碇區",3.57
"098Q2","新北市","坪林區",3.93
"098Q2","新北市","三芝區",3.46
"098Q2","新北市","石門區",5.40
"098Q2","新北市","八里區",3.60
"098Q2","新北市","平溪區",3.35
"098Q2","新北市","雙溪區",4.07
"098Q2","新北市","貢寮區",5.09
"098Q2","新北市","金山區",4.44
"098Q2","新北市","萬里區",4.24
"098Q2","新北市","烏來區",5.12
"098Q2","台北市","",3.57
"098Q2","台北市","松山區",3.65
"098Q2","台北市","信義區",3.44
"098Q2","台北市","大安區",3.61
"098Q2","台北市","中山區",3.11
"098Q2","台北市","中正區",3.70
"098Q2","台北市","大同區",3.64
"098Q2","台北市","萬華區",3.43
"098Q2","台北市","文山區",3.53
"098Q2","台北市","南港區",3.67
"098Q2","台北市","內湖區",3.62
"098Q2","台北市","士林區",3.77
"098Q2","台北市","北投區",3.78
"098Q2","桃園市","",3.69
"098Q2","桃園市","桃園區",3.42
"098Q2","桃園市","中壢區",3.56
"098Q2","桃園市","平鎮區",3.74
"098Q2","桃園市","八德區",3.77
"098Q2","桃園市","楊梅區",3.79
"098Q2","桃園市","大溪區",3.97
"098Q2","桃園市","蘆竹區",3.56
"098Q2","桃園市","大園區",4.48
"098Q2","桃園市","龜山區",3.35
"098Q2","桃園市","龍潭區",3.80
"098Q2","桃園市","新屋區",5.43
"098Q2","桃園市","觀音區",4.81
"098Q2","桃園市","復興區",4.26
"098Q2","台中市","",3.51
"098Q2","台中市","中區",4.58
"098Q2","台中市","東區",3.64
"098Q2","台中市","南區",3.34
"098Q2","台中市","西區",3.45
"098Q2","台中市","北區",3.34
"098Q2","台中市","西屯區",3.49
"098Q2","台中市","南屯區",3.55
"098Q2","台中市","北屯區",3.62
"098Q2","台南市","",3.59
"098Q2","台南市","東區",3.50
"098Q2","台南市","南區",3.65
"098Q2","台南市","北區",3.37
"098Q2","台南市","安南區",4.10
"098Q2","台南市","安平區",3.27
"098Q2","台南市","中西區",3.35
"098Q2","高雄市","",3.39
"098Q2","高雄市","鹽埕區",3.53
"098Q2","高雄市","鼓山區",3.11
"098Q2","高雄市","左營區",3.19
"098Q2","高雄市","楠梓區",3.42
"098Q2","高雄市","三民區",3.42
"098Q2","高雄市","新興區",3.09
"098Q2","高雄市","前金區",2.90
"098Q2","高雄市","苓雅區",3.33
"098Q2","高雄市","前鎮區",3.43
"098Q2","高雄市","旗津區",4.43
"098Q2","高雄市","小港區",3.95
"098Q2","宜蘭縣","",3.86
"098Q2","宜蘭縣","宜蘭市",3.59
"098Q2","宜蘭縣","羅東鎮",3.75
"098Q2","宜蘭縣","蘇澳鎮",4.02
"098Q2","宜蘭縣","頭城鎮",4.23
"098Q2","宜蘭縣","礁溪鄉",3.94
"098Q2","宜蘭縣","壯圍鄉",4.38
"098Q2","宜蘭縣","員山鄉",3.98
"098Q2","宜蘭縣","冬山鄉",3.68
"098Q2","宜蘭縣","五結鄉",3.70
"098Q2","宜蘭縣","三星鄉",4.10
"098Q2","宜蘭縣","大同鄉",4.75
"098Q2","宜蘭縣","南澳鄉",5.70
"098Q2","新竹縣","",4.11
"098Q2","新竹縣","竹北市",3.65
"098Q2","新竹縣","關西鎮",5.28
"098Q2","新竹縣","新埔鎮",4.59
"098Q2","新竹縣","竹東鎮",3.97
"098Q2","新竹縣","湖口鄉",4.15
"098Q2","新竹縣","橫山鄉",4.59
"098Q2","新竹縣","新豐鄉",4.34
"098Q2","新竹縣","芎林鄉",4.51
"098Q2","新竹縣","寶山鄉",3.89
"098Q2","新竹縣","北埔鄉",5.00
"098Q2","新竹縣","峨眉鄉",5.28
"098Q2","新竹縣","尖石鄉",4.16
"098Q2","新竹縣","五峰鄉",4.29
"098Q2","苗栗縣","",4.37
"098Q2","苗栗縣","苗栗市",3.73
"098Q2","苗栗縣","苑裡鎮",4.98
"098Q2","苗栗縣","通霄鎮",5.27
"098Q2","苗栗縣","竹南鎮",4.04
"098Q2","苗栗縣","頭份鎮",3.99
"098Q2","苗栗縣","後龍鎮",5.03
"098Q2","苗栗縣","卓蘭鎮",5.03
"098Q2","苗栗縣","大湖鄉",4.85
"098Q2","苗栗縣","公館鄉",4.36
"098Q2","苗栗縣","銅鑼鄉",4.72
"098Q2","苗栗縣","南庄鄉",4.66
"098Q2","苗栗縣","頭屋鄉",4.72
"098Q2","苗栗縣","三義鄉",4.63
"098Q2","苗栗縣","西湖鄉",5.86
"098Q2","苗栗縣","造橋鄉",4.71
"098Q2","苗栗縣","三灣鄉",4.66
"098Q2","苗栗縣","獅潭鄉",4.48
"098Q2","苗栗縣","泰安鄉",6.31
"098Q2","彰化縣","",4.95
"098Q2","彰化縣","彰化市",4.07
"098Q2","彰化縣","鹿港鎮",5.11
"098Q2","彰化縣","和美鎮",4.62
"098Q2","彰化縣","北斗鎮",4.31
"098Q2","彰化縣","員林鎮",4.58
"098Q2","彰化縣","溪湖鎮",5.39
"098Q2","彰化縣","田中鎮",4.75
"098Q2","彰化縣","二林鎮",6.17
"098Q2","彰化縣","線西鄉",5.88
"098Q2","彰化縣","伸港鄉",5.48
"098Q2","彰化縣","福興鄉",6.07
"098Q2","彰化縣","秀水鄉",5.19
"098Q2","彰化縣","花壇鄉",4.54
"098Q2","彰化縣","芬園鄉",5.37
"098Q2","彰化縣","大村鄉",6.29
"098Q2","彰化縣","埔鹽鄉",7.38
"098Q2","彰化縣","埔心鄉",4.49
"098Q2","彰化縣","永靖鄉",5.85
"098Q2","彰化縣","社頭鄉",5.73
"098Q2","彰化縣","二水鄉",4.60
"098Q2","彰化縣","田尾鄉",4.62
"098Q2","彰化縣","埤頭鄉",5.09
"098Q2","彰化縣","芳苑鄉",5.89
"098Q2","彰化縣","大城鄉",7.28
"098Q2","彰化縣","竹塘鄉",5.15
"098Q2","彰化縣","溪州鄉",5.82
"098Q2","南投縣","",4.33
"098Q2","南投縣","南投市",3.91
"098Q2","南投縣","埔里鎮",4.13
"098Q2","南投縣","草屯鎮",4.36
"098Q2","南投縣","竹山鎮",4.11
"098Q2","南投縣","集集鎮",4.33
"098Q2","南投縣","名間鄉",5.29
"098Q2","南投縣","鹿谷鄉",4.86
"098Q2","南投縣","中寮鄉",4.96
"098Q2","南投縣","魚池鄉",5.32
"098Q2","南投縣","國姓鄉",4.33
"098Q2","南投縣","水里鄉",4.23
"098Q2","南投縣","信義鄉",5.41
