TOWNCODE,COUNTYNAME,TOWNNAME,education_high_school_graduate,education_less_than_high_school,education_college,education_college_rate,education_high_school_graduate_rate,education_less_than_high_school_rate,employ_rate
10013050,屏東縣,萬丹鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013060,屏東縣,長治鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013070,屏東縣,麟洛鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013080,屏東縣,九如鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013090,屏東縣,里港鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013100,屏東縣,鹽埔鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013110,屏東縣,高樹鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013120,屏東縣,萬巒鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013130,屏東縣,內埔鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013140,屏東縣,竹田鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013150,屏東縣,新埤鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013160,屏東縣,枋寮鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013170,屏東縣,新園鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013180,屏東縣,崁頂鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013190,屏東縣,林邊鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013200,屏東縣,南州鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013210,屏東縣,佳冬鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013220,屏東縣,琉球鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
10013230,屏東縣,車城鄉,241083.0,221652.0,190124.0,0.2912175523351903,0.3692726913468299,0.33950975631797986,0.9622499999999999
